# Time     Position   Velocity(half-step)
3.67   -0.24   -0.21
3.68   -0.24   -0.21
3.69   -0.24   -0.20
3.70   -0.24   -0.20
3.71   -0.25   -0.20
3.72   -0.25   -0.20
3.73   -0.25   -0.19
3.74   -0.25   -0.19
3.75   -0.25   -0.19
3.76   -0.26   -0.19
3.77   -0.26   -0.18
3.78   -0.26   -0.18
3.79   -0.26   -0.18
3.80   -0.26   -0.18
3.81   -0.26   -0.17
3.82   -0.27   -0.17
3.83   -0.27   -0.17
3.84   -0.27   -0.17
3.85   -0.27   -0.16
3.86   -0.27   -0.16
3.87   -0.27   -0.16
3.88   -0.28   -0.16
3.89   -0.28   -0.15
3.90   -0.28   -0.15
3.91   -0.28   -0.15
3.92   -0.28   -0.14
3.93   -0.28   -0.14
3.94   -0.28   -0.14
3.95   -0.29   -0.14
3.96   -0.29   -0.13
3.97   -0.29   -0.13
3.98   -0.29   -0.13
3.99   -0.29   -0.12
4.00   -0.29   -0.12
4.01   -0.29   -0.12
4.02   -0.29   -0.12
4.03   -0.30   -0.11
4.04   -0.30   -0.11
4.05   -0.30   -0.11
4.06   -0.30   -0.10
4.07   -0.30   -0.10
4.08   -0.30   -0.10
4.09   -0.30   -0.09
4.10   -0.30   -0.09
4.11   -0.30   -0.09
4.12   -0.30   -0.09
4.13   -0.31   -0.08
4.14   -0.31   -0.08
4.15   -0.31   -0.08
4.16   -0.31   -0.07
4.17   -0.31   -0.07
4.18   -0.31   -0.07
4.19   -0.31   -0.06
4.20   -0.31   -0.06
4.21   -0.31   -0.06
4.22   -0.31   -0.06
4.23   -0.31   -0.05
4.24   -0.31   -0.05
4.25   -0.31   -0.05
4.26   -0.31   -0.04
4.27   -0.31   -0.04
4.28   -0.31   -0.04
4.29   -0.31   -0.03
4.30   -0.31   -0.03
4.31   -0.31   -0.03
4.32   -0.31   -0.02
4.33   -0.32   -0.02
4.34   -0.32   -0.02
4.35   -0.32   -0.01
4.36   -0.32   -0.01
4.37   -0.32   -0.01
4.38   -0.32   -0.00
4.39   -0.32   -0.00
4.40   -0.32   0.00
4.41   -0.32   0.00
4.42   -0.32   0.01
4.43   -0.32   0.01
4.44   -0.32   0.01
4.45   -0.32   0.02
4.46   -0.31   0.02
4.47   -0.31   0.02
4.48   -0.31   0.03
4.49   -0.31   0.03
4.50   -0.31   0.03
4.51   -0.31   0.04
4.52   -0.31   0.04
4.53   -0.31   0.04
4.54   -0.31   0.05
4.55   -0.31   0.05
4.56   -0.31   0.05
4.57   -0.31   0.05
4.58   -0.31   0.06
4.59   -0.31   0.06
4.60   -0.31   0.06
4.61   -0.31   0.07
4.62   -0.31   0.07
4.63   -0.31   0.07
4.64   -0.31   0.08
4.65   -0.31   0.08
4.66   -0.30   0.08
4.67   -0.30   0.09
4.68   -0.30   0.09
4.69   -0.30   0.09
4.70   -0.30   0.09
4.71   -0.30   0.10
4.72   -0.30   0.10
4.73   -0.30   0.10
4.74   -0.30   0.11
4.75   -0.30   0.11
4.76   -0.29   0.11
4.77   -0.29   0.12
4.78   -0.29   0.12
4.79   -0.29   0.12
4.80   -0.29   0.12
4.81   -0.29   0.13
4.82   -0.29   0.13
4.83   -0.29   0.13
4.84   -0.28   0.14
4.85   -0.28   0.14
4.86   -0.28   0.14
4.87   -0.28   0.14
4.88   -0.28   0.15
4.89   -0.28   0.15
4.90   -0.28   0.15
4.91   -0.27   0.16
4.92   -0.27   0.16
4.93   -0.27   0.16
4.94   -0.27   0.16
4.95   -0.27   0.17
4.96   -0.27   0.17
4.97   -0.26   0.17
4.98   -0.26   0.17
4.99   -0.26   0.18
5.00   -0.26   0.18
5.01   -0.26   0.18
5.02   -0.26   0.18
5.03   -0.25   0.19
5.04   -0.25   0.19
5.05   -0.25   0.19
5.06   -0.25   0.19
5.07   -0.25   0.20
5.08   -0.24   0.20
5.09   -0.24   0.20
5.10   -0.24   0.20
5.11   -0.24   0.21
5.12   -0.24   0.21
5.13   -0.23   0.21
5.14   -0.23   0.21
5.15   -0.23   0.22
5.16   -0.23   0.22
5.17   -0.22   0.22
5.18   -0.22   0.22
5.19   -0.22   0.23
5.20   -0.22   0.23
5.21   -0.22   0.23
5.22   -0.21   0.23
5.23   -0.21   0.23
5.24   -0.21   0.24
5.25   -0.21   0.24
5.26   -0.20   0.24
5.27   -0.20   0.24
5.28   -0.20   0.24
5.29   -0.20   0.25
5.30   -0.19   0.25
5.31   -0.19   0.25
5.32   -0.19   0.25
5.33   -0.19   0.25
5.34   -0.18   0.26
5.35   -0.18   0.26
5.36   -0.18   0.26
5.37   -0.18   0.26
5.38   -0.17   0.26
5.39   -0.17   0.26
5.40   -0.17   0.27
5.41   -0.17   0.27
5.42   -0.16   0.27
5.43   -0.16   0.27
5.44   -0.16   0.27
5.45   -0.15   0.27
5.46   -0.15   0.28
5.47   -0.15   0.28
5.48   -0.15   0.28
5.49   -0.14   0.28
5.50   -0.14   0.28
5.51   -0.14   0.28
5.52   -0.13   0.28
5.53   -0.13   0.29
5.54   -0.13   0.29
5.55   -0.13   0.29
5.56   -0.12   0.29
5.57   -0.12   0.29
5.58   -0.12   0.29
5.59   -0.11   0.29
5.60   -0.11   0.29
5.61   -0.11   0.30
5.62   -0.11   0.30
5.63   -0.10   0.30
5.64   -0.10   0.30
5.65   -0.10   0.30
5.66   -0.09   0.30
5.67   -0.09   0.30
5.68   -0.09   0.30
5.69   -0.08   0.30
5.70   -0.08   0.30
5.71   -0.08   0.31
5.72   -0.08   0.31
5.73   -0.07   0.31
5.74   -0.07   0.31
5.75   -0.07   0.31
5.76   -0.06   0.31
5.77   -0.06   0.31
5.78   -0.06   0.31
5.79   -0.05   0.31
5.80   -0.05   0.31
5.81   -0.05   0.31
5.82   -0.04   0.31
5.83   -0.04   0.31
5.84   -0.04   0.31
5.85   -0.03   0.31
5.86   -0.03   0.31
5.87   -0.03   0.31
5.88   -0.03   0.31
5.89   -0.02   0.31
5.90   -0.02   0.32
5.91   -0.02   0.32
5.92   -0.01   0.32
5.93   -0.01   0.32
5.94   -0.01   0.32
5.95   -0.00   0.32
5.96   -0.00   0.32
5.97   0.00   0.32
5.98   0.01   0.32
5.99   0.01   0.32
6.00   0.01   0.32
6.01   0.02   0.32
6.02   0.02   0.32
6.03   0.02   0.32
6.04   0.02   0.31
6.05   0.03   0.31
6.06   0.03   0.31
6.07   0.03   0.31
6.08   0.04   0.31
6.09   0.04   0.31
6.10   0.04   0.31
6.11   0.05   0.31
6.12   0.05   0.31
6.13   0.05   0.31
6.14   0.06   0.31
6.15   0.06   0.31
6.16   0.06   0.31
6.17   0.07   0.31
6.18   0.07   0.31
6.19   0.07   0.31
6.20   0.07   0.31
6.21   0.08   0.31
6.22   0.08   0.31
6.23   0.08   0.30
6.24   0.09   0.30
6.25   0.09   0.30
6.26   0.09   0.30
6.27   0.10   0.30
6.28   0.10   0.30
6.29   0.10   0.30
6.30   0.11   0.30
6.31   0.11   0.30
6.32   0.11   0.30
6.33   0.11   0.30
6.34   0.12   0.29
6.35   0.12   0.29
6.36   0.12   0.29
6.37   0.13   0.29
6.38   0.13   0.29
6.39   0.13   0.29
6.40   0.13   0.29
6.41   0.14   0.29
6.42   0.14   0.28
6.43   0.14   0.28
6.44   0.15   0.28
6.45   0.15   0.28
6.46   0.15   0.28
6.47   0.15   0.28
6.48   0.16   0.27
6.49   0.16   0.27
6.50   0.16   0.27
6.51   0.16   0.27
6.52   0.17   0.27
6.53   0.17   0.27
6.54   0.17   0.27
6.55   0.18   0.26
6.56   0.18   0.26
6.57   0.18   0.26
6.58   0.18   0.26
6.59   0.19   0.26
6.60   0.19   0.25
6.61   0.19   0.25
6.62   0.19   0.25
6.63   0.20   0.25
6.64   0.20   0.25
6.65   0.20   0.24
6.66   0.20   0.24
6.67   0.21   0.24
6.68   0.21   0.24
6.69   0.21   0.24
6.70   0.21   0.23
6.71   0.22   0.23
6.72   0.22   0.23
6.73   0.22   0.23
6.74   0.22   0.23
6.75   0.22   0.22
6.76   0.23   0.22
6.77   0.23   0.22
6.78   0.23   0.22
6.79   0.23   0.21
6.80   0.23   0.21
6.81   0.24   0.21
6.82   0.24   0.21
6.83   0.24   0.21
6.84   0.24   0.20
6.85   0.25   0.20
6.86   0.25   0.20
6.87   0.25   0.20
6.88   0.25   0.19
6.89   0.25   0.19
6.90   0.25   0.19
6.91   0.26   0.19
6.92   0.26   0.18
6.93   0.26   0.18
6.94   0.26   0.18
6.95   0.26   0.17
6.96   0.27   0.17
6.97   0.27   0.17
6.98   0.27   0.17
6.99   0.27   0.16
7.00   0.27   0.16
7.01   0.27   0.16
7.02   0.28   0.16
7.03   0.28   0.15
7.04   0.28   0.15
7.05   0.28   0.15
7.06   0.28   0.14
7.07   0.28   0.14
7.08   0.28   0.14
7.09   0.29   0.14
7.10   0.29   0.13
7.11   0.29   0.13
7.12   0.29   0.13
7.13   0.29   0.12
7.14   0.29   0.12
7.15   0.29   0.12
7.16   0.29   0.12
7.17   0.30   0.11
7.18   0.30   0.11
7.19   0.30   0.11
7.20   0.30   0.10
7.21   0.30   0.10
7.22   0.30   0.10
7.23   0.30   0.10
7.24   0.30   0.09
7.25   0.30   0.09
7.26   0.30   0.09
7.27   0.31   0.08
7.28   0.31   0.08
7.29   0.31   0.08
7.30   0.31   0.07
7.31   0.31   0.07
7.32   0.31   0.07
7.33   0.31   0.06
7.34   0.31   0.06
7.35   0.31   0.06
7.36   0.31   0.06
7.37   0.31   0.05
7.38   0.31   0.05
7.39   0.31   0.05
7.40   0.31   0.04
7.41   0.31   0.04
7.42   0.31   0.04
7.43   0.31   0.03
7.44   0.31   0.03
7.45   0.31   0.03
7.46   0.31   0.02
7.47   0.32   0.02
7.48   0.32   0.02
7.49   0.32   0.01
7.50   0.32   0.01
7.51   0.32   0.01
7.52   0.32   0.01
7.53   0.32   0.00
7.54   0.32   -0.00
7.55   0.32   -0.00
7.56   0.32   -0.01
7.57   0.32   -0.01
7.58   0.32   -0.01
7.59   0.32   -0.02
7.60   0.32   -0.02
7.61   0.31   -0.02
7.62   0.31   -0.03
7.63   0.31   -0.03
7.64   0.31   -0.03
7.65   0.31   -0.04
7.66   0.31   -0.04
7.67   0.31   -0.04
7.68   0.31   -0.05
7.69   0.31   -0.05
7.70   0.31   -0.05
7.71   0.31   -0.05
7.72   0.31   -0.06
7.73   0.31   -0.06
7.74   0.31   -0.06
7.75   0.31   -0.07
7.76   0.31   -0.07
7.77   0.31   -0.07
7.78   0.31   -0.08
7.79   0.31   -0.08
7.80   0.30   -0.08
7.81   0.30   -0.09
7.82   0.30   -0.09
7.83   0.30   -0.09
7.84   0.30   -0.09
7.85   0.30   -0.10
7.86   0.30   -0.10
7.87   0.30   -0.10
7.88   0.30   -0.11
7.89   0.30   -0.11
7.90   0.29   -0.11
7.91   0.29   -0.12
7.92   0.29   -0.12
7.93   0.29   -0.12
7.94   0.29   -0.12
7.95   0.29   -0.13
7.96   0.29   -0.13
7.97   0.29   -0.13
7.98   0.28   -0.14
7.99   0.28   -0.14
8.00   0.28   -0.14
8.01   0.28   -0.14
8.02   0.28   -0.15
8.03   0.28   -0.15
8.04   0.28   -0.15
8.05   0.27   -0.16
8.06   0.27   -0.16
8.07   0.27   -0.16
8.08   0.27   -0.16
8.09   0.27   -0.17
8.10   0.27   -0.17
8.11   0.26   -0.17
8.12   0.26   -0.17
8.13   0.26   -0.18
8.14   0.26   -0.18
8.15   0.26   -0.18
8.16   0.26   -0.18
8.17   0.25   -0.19
8.18   0.25   -0.19
8.19   0.25   -0.19
8.20   0.25   -0.19
8.21   0.25   -0.20
8.22   0.24   -0.20
8.23   0.24   -0.20
8.24   0.24   -0.20
8.25   0.24   -0.21
8.26   0.24   -0.21
8.27   0.23   -0.21
8.28   0.23   -0.21
8.29   0.23   -0.22
8.30   0.23   -0.22
8.31   0.22   -0.22
8.32   0.22   -0.22
8.33   0.22   -0.23
8.34   0.22   -0.23
8.35   0.22   -0.23
8.36   0.21   -0.23
8.37   0.21   -0.23
8.38   0.21   -0.24
8.39   0.21   -0.24
8.40   0.20   -0.24
8.41   0.20   -0.24
8.42   0.20   -0.24
8.43   0.20   -0.25
8.44   0.19   -0.25
8.45   0.19   -0.25
8.46   0.19   -0.25
8.47   0.19   -0.25
8.48   0.18   -0.26
8.49   0.18   -0.26
8.50   0.18   -0.26
8.51   0.18   -0.26
8.52   0.17   -0.26
8.53   0.17   -0.26
8.54   0.17   -0.27
8.55   0.17   -0.27
8.56   0.16   -0.27
8.57   0.16   -0.27
8.58   0.16   -0.27
8.59   0.15   -0.27
8.60   0.15   -0.28
8.61   0.15   -0.28
8.62   0.15   -0.28
8.63   0.14   -0.28
8.64   0.14   -0.28
8.65   0.14   -0.28
8.66   0.14   -0.28
8.67   0.13   -0.29
8.68   0.13   -0.29
8.69   0.13   -0.29
8.70   0.12   -0.29
8.71   0.12   -0.29
8.72   0.12   -0.29
8.73   0.11   -0.29
8.74   0.11   -0.29
8.75   0.11   -0.30
8.76   0.11   -0.30
8.77   0.10   -0.30
8.78   0.10   -0.30
8.79   0.10   -0.30
8.80   0.09   -0.30
8.81   0.09   -0.30
8.82   0.09   -0.30
8.83   0.08   -0.30
8.84   0.08   -0.30
8.85   0.08   -0.31
8.86   0.08   -0.31
8.87   0.07   -0.31
8.88   0.07   -0.31
8.89   0.07   -0.31
8.90   0.06   -0.31
8.91   0.06   -0.31
8.92   0.06   -0.31
8.93   0.05   -0.31
8.94   0.05   -0.31
8.95   0.05   -0.31
8.96   0.04   -0.31
8.97   0.04   -0.31
8.98   0.04   -0.31
8.99   0.04   -0.31
9.00   0.03   -0.31
9.01   0.03   -0.31
9.02   0.03   -0.31
9.03   0.02   -0.31
9.04   0.02   -0.32
9.05   0.02   -0.32
9.06   0.01   -0.32
9.07   0.01   -0.32
9.08   0.01   -0.32
9.09   0.00   -0.32
9.10   0.00   -0.32
9.11   -0.00   -0.32
9.12   -0.01   -0.32
9.13   -0.01   -0.32
9.14   -0.01   -0.32
9.15   -0.01   -0.32
9.16   -0.02   -0.32
9.17   -0.02   -0.32
9.18   -0.02   -0.31
9.19   -0.03   -0.31
9.20   -0.03   -0.31
9.21   -0.03   -0.31
9.22   -0.04   -0.31
9.23   -0.04   -0.31
9.24   -0.04   -0.31
9.25   -0.05   -0.31
9.26   -0.05   -0.31
9.27   -0.05   -0.31
9.28   -0.06   -0.31
9.29   -0.06   -0.31
9.30   -0.06   -0.31
9.31   -0.07   -0.31
9.32   -0.07   -0.31
9.33   -0.07   -0.31
9.34   -0.07   -0.31
9.35   -0.08   -0.31
9.36   -0.08   -0.31
9.37   -0.08   -0.30
9.38   -0.09   -0.30
9.39   -0.09   -0.30
9.40   -0.09   -0.30
9.41   -0.10   -0.30
9.42   -0.10   -0.30
9.43   -0.10   -0.30
9.44   -0.10   -0.30
9.45   -0.11   -0.30
9.46   -0.11   -0.30
9.47   -0.11   -0.30
9.48   -0.12   -0.29
9.49   -0.12   -0.29
9.50   -0.12   -0.29
9.51   -0.13   -0.29
9.52   -0.13   -0.29
9.53   -0.13   -0.29
9.54   -0.13   -0.29
9.55   -0.14   -0.29
9.56   -0.14   -0.28
9.57   -0.14   -0.28
9.58   -0.15   -0.28
9.59   -0.15   -0.28
9.60   -0.15   -0.28
9.61   -0.15   -0.28
9.62   -0.16   -0.28
9.63   -0.16   -0.27
9.64   -0.16   -0.27
9.65   -0.16   -0.27
9.66   -0.17   -0.27
9.67   -0.17   -0.27
9.68   -0.17   -0.27
9.69   -0.18   -0.26
9.70   -0.18   -0.26
9.71   -0.18   -0.26
9.72   -0.18   -0.26
9.73   -0.19   -0.26
9.74   -0.19   -0.25
9.75   -0.19   -0.25
9.76   -0.19   -0.25
9.77   -0.20   -0.25
9.78   -0.20   -0.25
9.79   -0.20   -0.25
9.80   -0.20   -0.24
9.81   -0.21   -0.24
9.82   -0.21   -0.24
9.83   -0.21   -0.24
9.84   -0.21   -0.23
9.85   -0.21   -0.23
9.86   -0.22   -0.23
9.87   -0.22   -0.23
9.88   -0.22   -0.23
9.89   -0.22   -0.22
9.90   -0.23   -0.22
9.91   -0.23   -0.22
9.92   -0.23   -0.22
9.93   -0.23   -0.21
9.94   -0.23   -0.21
9.95   -0.24   -0.21
9.96   -0.24   -0.21
9.97   -0.24   -0.21
9.98   -0.24   -0.20
9.99   -0.24   -0.20
10.00   -0.25   -0.20
10.01   -0.25   -0.20
